gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
1318052686	StillImage	image/jpeg	http://n2t.net/ark:/65665/m39a39c0c8-14fe-4335-97e6-2f75f4c98658		00897994.tif	Barcode 00897994	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318039550	StillImage	image/jpeg	http://n2t.net/ark:/65665/m349b8f754-7696-4dbf-a4df-605f4f0c2262		00897489.tif	Barcode 00897489	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1318024872	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3c89c2127-aea3-4cd3-a4b4-94ddac367c9b		00089471.tif	US National Herbarium specimen, barcode 00089471	Specimen from Department of Botany, NMNH, Smithsonian Institution			Ingrid P. Lin		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317997258	StillImage	image/jpeg	http://n2t.net/ark:/65665/m34f098140-c76f-4fb2-b008-9649db986898		00897756.tif	Barcode 00897756	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317972336	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3cfee7719-dc03-429d-b6cc-48098a909210		00897352.tif	Barcode 00897352	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317962352	StillImage	image/jpeg	http://n2t.net/ark:/65665/m30ff4fbed-18b6-4dac-8437-5f5c3f32f3e4		00897702.tif	Barcode 00897702	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317855194	StillImage	image/jpeg	http://n2t.net/ark:/65665/m30025f727-93b4-4f1d-b292-dbe7a4c18cda		00896632.tif	Barcode 00896632	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317847897	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3d36511ba-01ee-4802-8acb-8e28abc608be		00897618.tif	Barcode 00897618	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317773177	StillImage	image/jpeg	http://n2t.net/ark:/65665/m3f7b9fb29-aed4-43f7-8eaa-b43d6bf4ea71		01013669.tif	US National Herbarium specimen, barcode 01013669	Specimen from Department of Botany, NMNH, Smithsonian Institution			Ingrid P. Lin		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
1317756973	StillImage	image/jpeg	http://n2t.net/ark:/65665/m31b646c00-071b-46f6-8dee-2eb710b37ec8		00897975.tif	Barcode 00897975	US National Herbarium, Department of Botany, NMNH, Smithsonian Institution			Conveyor Belt		Smithsonian Institution, NMNH, Botany	http://creativecommons.org/publicdomain/zero/1.0/	
